dia_ocu,mes_ocu,año_ocu,hora_ocu,depto_ocu,mupio_ocu,tipo_veh,color_veh,modelo_veh,tipo_accidente,marca_veh
12.0,1.0,2013,19.0,1.0,101.0,1.0,11.0,1987.0,1.0,44.0
12.0,1.0,2013,9.0,17.0,1701.0,14.0,99.0,2006.0,1.0,2.0
12.0,1.0,2013,2.0,17.0,1701.0,4.0,99.0,9999.0,2.0,99.0
13.0,1.0,2013,20.0,1.0,101.0,2.0,3.0,1999.0,1.0,13.0
13.0,1.0,2013,15.0,1.0,108.0,1.0,5.0,9999.0,1.0,99.0
13.0,1.0,2013,18.0,20.0,2001.0,3.0,99.0,9999.0,3.0,99.0
13.0,1.0,2013,19.0,5.0,501.0,6.0,99.0,9999.0,1.0,22.0
13.0,1.0,2013,15.0,6.0,613.0,1.0,11.0,9999.0,1.0,21.0
13.0,1.0,2013,11.0,6.0,601.0,3.0,1.0,9999.0,2.0,99.0
13.0,1.0,2013,19.0,10.0,1002.0,3.0,3.0,1984.0,1.0,44.0
13.0,1.0,2013,3.0,10.0,1010.0,4.0,1.0,2009.0,2.0,2.0
13.0,1.0,2013,4.0,12.0,1201.0,4.0,4.0,2012.0,2.0,32.0
13.0,1.0,2013,21.0,2.0,201.0,6.0,1.0,1998.0,1.0,15.0
13.0,1.0,2013,23.0,4.0,403.0,5.0,2.0,9999.0,1.0,22.0
14.0,1.0,2013,20.0,22.0,2214.0,3.0,14.0,9999.0,1.0,44.0
14.0,1.0,2013,6.0,5.0,508.0,11.0,2.0,9999.0,2.0,99.0
14.0,1.0,2013,7.0,6.0,603.0,3.0,5.0,9999.0,3.0,99.0
14.0,1.0,2013,19.0,13.0,1301.0,3.0,2.0,9999.0,2.0,11.0
14.0,1.0,2013,12.0,16.0,1609.0,5.0,2.0,9999.0,1.0,19.0
14.0,1.0,2013,0.0,4.0,416.0,1.0,3.0,9999.0,2.0,32.0
15.0,1.0,2013,4.0,1.0,101.0,5.0,2.0,1988.0,1.0,33.0
15.0,1.0,2013,2.0,1.0,116.0,1.0,99.0,9999.0,1.0,9.0
15.0,1.0,2013,21.0,21.0,2101.0,4.0,1.0,2007.0,1.0,42.0
15.0,1.0,2013,17.0,20.0,2001.0,1.0,1.0,1992.0,1.0,32.0
15.0,1.0,2013,16.0,6.0,608.0,4.0,99.0,9999.0,3.0,99.0
