dia_ocu,mes_ocu,hora_ocu,depto_ocu,mupio_ocu,año_ocu,numero_vehiculos_involucrados,fallecidos_lesionados
25.0,1.0,18.0,8.0,801.0,2013,1,3
25.0,1.0,19.0,19.0,1905.0,2013,1,1
25.0,1.0,19.0,20.0,2001.0,2013,1,1
25.0,1.0,20.0,22.0,2204.0,2013,1,1
25.0,1.0,20.0,9.0,920.0,2013,1,2
25.0,1.0,23.0,11.0,1102.0,2013,1,2
25.0,1.0,23.0,9.0,901.0,2013,1,0
25.0,1.0,6.0,5.0,511.0,2013,1,0
25.0,1.0,8.0,1.0,117.0,2013,1,1
25.0,1.0,9.0,1.0,101.0,2013,1,1
26.0,1.0,0.0,1.0,101.0,2013,1,1
26.0,1.0,0.0,11.0,1105.0,2013,1,0
26.0,1.0,11.0,13.0,1301.0,2013,1,1
26.0,1.0,17.0,6.0,609.0,2013,1,1
26.0,1.0,19.0,6.0,601.0,2013,1,1
26.0,1.0,19.0,7.0,704.0,2013,1,1
26.0,1.0,20.0,1.0,108.0,2013,1,1
26.0,1.0,20.0,20.0,2009.0,2013,1,2
26.0,1.0,20.0,3.0,301.0,2013,1,1
26.0,1.0,22.0,1.0,101.0,2013,1,0
26.0,1.0,22.0,10.0,1014.0,2013,1,2
26.0,1.0,23.0,1.0,108.0,2013,1,1
26.0,1.0,23.0,12.0,1215.0,2013,1,1
26.0,1.0,4.0,1.0,101.0,2013,1,0
26.0,1.0,7.0,4.0,416.0,2013,1,1
27.0,1.0,0.0,1.0,110.0,2013,1,1
27.0,1.0,0.0,1.0,116.0,2013,1,2
27.0,1.0,1.0,12.0,1215.0,2013,1,1
27.0,1.0,1.0,5.0,509.0,2013,1,0
27.0,1.0,11.0,19.0,1901.0,2013,2,2
27.0,1.0,11.0,19.0,1905.0,2013,1,1
27.0,1.0,12.0,4.0,401.0,2013,1,1
27.0,1.0,15.0,1.0,115.0,2013,1,1
27.0,1.0,15.0,21.0,2107.0,2013,1,4
27.0,1.0,16.0,15.0,1501.0,2013,2,1
27.0,1.0,17.0,1.0,101.0,2013,1,0
27.0,1.0,17.0,6.0,614.0,2013,1,1
27.0,1.0,17.0,9.0,901.0,2013,1,0
27.0,1.0,19.0,11.0,1106.0,2013,1,1
27.0,1.0,19.0,4.0,401.0,2013,1,1
27.0,1.0,2.0,9.0,901.0,2013,1,1
27.0,1.0,20.0,1.0,101.0,2013,1,0
27.0,1.0,20.0,1.0,102.0,2013,1,1
27.0,1.0,21.0,19.0,1901.0,2013,1,2
27.0,1.0,22.0,2.0,207.0,2013,1,1
27.0,1.0,23.0,1.0,101.0,2013,1,1
27.0,1.0,3.0,20.0,2008.0,2013,1,0
27.0,1.0,4.0,1.0,101.0,2013,1,1
27.0,1.0,6.0,1.0,101.0,2013,1,2
27.0,1.0,6.0,10.0,1001.0,2013,1,1
27.0,1.0,8.0,10.0,1002.0,2013,1,1
28.0,1.0,0.0,21.0,2103.0,2013,1,0
28.0,1.0,10.0,19.0,1901.0,2013,1,1
28.0,1.0,11.0,1.0,102.0,2013,1,1
28.0,1.0,13.0,1.0,101.0,2013,1,1
28.0,1.0,14.0,1.0,101.0,2013,1,1
28.0,1.0,15.0,13.0,1313.0,2013,1,1
28.0,1.0,16.0,17.0,1708.0,2013,1,1
28.0,1.0,17.0,1.0,108.0,2013,1,1
28.0,1.0,17.0,17.0,1703.0,2013,1,1
28.0,1.0,17.0,6.0,603.0,2013,1,1
28.0,1.0,18.0,1.0,101.0,2013,1,1
28.0,1.0,19.0,1.0,101.0,2013,1,1
28.0,1.0,20.0,1.0,101.0,2013,1,1
28.0,1.0,20.0,1.0,105.0,2013,1,1
28.0,1.0,23.0,1.0,101.0,2013,1,1
29.0,1.0,10.0,1.0,101.0,2013,1,1
29.0,1.0,14.0,1.0,101.0,2013,1,1
29.0,1.0,15.0,16.0,1613.0,2013,1,1
29.0,1.0,16.0,17.0,1701.0,2013,1,2
29.0,1.0,18.0,17.0,1701.0,2013,1,2
29.0,1.0,18.0,18.0,1801.0,2013,1,2
29.0,1.0,19.0,20.0,2001.0,2013,1,1
29.0,1.0,22.0,11.0,1101.0,2013,1,2
29.0,1.0,22.0,20.0,2001.0,2013,1,1
29.0,1.0,7.0,1.0,101.0,2013,1,1
29.0,1.0,7.0,7.0,710.0,2013,1,1
29.0,1.0,8.0,1.0,101.0,2013,1,1
29.0,1.0,8.0,19.0,1904.0,2013,1,1
3.0,1.0,0.0,1.0,101.0,2013,1,1
3.0,1.0,11.0,1.0,101.0,2013,1,3
3.0,1.0,14.0,5.0,501.0,2013,1,1
3.0,1.0,16.0,7.0,701.0,2013,1,2
3.0,1.0,19.0,9.0,917.0,2013,1,1
3.0,1.0,20.0,13.0,1301.0,2013,1,2
3.0,1.0,20.0,19.0,1903.0,2013,1,1
3.0,1.0,20.0,5.0,509.0,2013,1,1
3.0,1.0,21.0,1.0,108.0,2013,1,0
3.0,1.0,22.0,2.0,203.0,2013,1,10
3.0,1.0,22.0,20.0,2007.0,2013,1,1
30.0,1.0,15.0,11.0,1101.0,2013,1,1
30.0,1.0,15.0,17.0,1703.0,2013,1,1
30.0,1.0,16.0,4.0,403.0,2013,1,0
30.0,1.0,17.0,10.0,1010.0,2013,1,1
30.0,1.0,22.0,20.0,2001.0,2013,1,1
30.0,1.0,6.0,1.0,101.0,2013,1,1
30.0,1.0,7.0,1.0,108.0,2013,1,1
30.0,1.0,8.0,10.0,1004.0,2013,1,1
31.0,1.0,11.0,4.0,412.0,2013,1,1
31.0,1.0,14.0,17.0,1708.0,2013,1,2
31.0,1.0,14.0,18.0,1804.0,2013,1,2
31.0,1.0,17.0,1.0,115.0,2013,1,1
31.0,1.0,19.0,12.0,1212.0,2013,1,1
31.0,1.0,19.0,20.0,2001.0,2013,2,2
31.0,1.0,20.0,1.0,108.0,2013,1,1
31.0,1.0,20.0,4.0,409.0,2013,1,1
31.0,1.0,23.0,10.0,1001.0,2013,1,1
31.0,1.0,23.0,8.0,807.0,2013,1,1
31.0,1.0,6.0,19.0,1904.0,2013,1,1
4.0,1.0,14.0,2.0,205.0,2013,1,1
4.0,1.0,15.0,5.0,501.0,2013,1,1
4.0,1.0,16.0,1.0,114.0,2013,1,1
4.0,1.0,17.0,1.0,101.0,2013,2,2
4.0,1.0,17.0,7.0,701.0,2013,1,3
4.0,1.0,18.0,15.0,1501.0,2013,1,2
4.0,1.0,20.0,22.0,2201.0,2013,1,1
4.0,1.0,20.0,9.0,901.0,2013,1,1
4.0,1.0,6.0,20.0,2008.0,2013,1,6
4.0,1.0,7.0,1.0,101.0,2013,1,1
4.0,1.0,7.0,4.0,401.0,2013,1,1
4.0,1.0,8.0,10.0,1001.0,2013,1,2
5.0,1.0,10.0,15.0,1501.0,2013,1,2
5.0,1.0,12.0,20.0,2001.0,2013,1,2
5.0,1.0,16.0,18.0,1804.0,2013,1,5
5.0,1.0,23.0,2.0,201.0,2013,1,2
5.0,1.0,6.0,4.0,401.0,2013,1,1
5.0,1.0,7.0,9.0,919.0,2013,1,78
5.0,1.0,8.0,1.0,103.0,2013,1,0
5.0,1.0,8.0,10.0,1001.0,2013,1,1
5.0,1.0,9.0,13.0,1301.0,2013,1,1
6.0,1.0,0.0,1.0,101.0,2013,1,1
6.0,1.0,0.0,8.0,805.0,2013,1,1
6.0,1.0,11.0,5.0,501.0,2013,1,1
6.0,1.0,12.0,16.0,1610.0,2013,1,1
6.0,1.0,13.0,4.0,403.0,2013,1,1
6.0,1.0,17.0,13.0,1301.0,2013,1,0
6.0,1.0,19.0,10.0,1001.0,2013,1,1
6.0,1.0,20.0,1.0,115.0,2013,1,1
6.0,1.0,20.0,2.0,203.0,2013,1,3
6.0,1.0,22.0,14.0,1404.0,2013,1,10
6.0,1.0,23.0,11.0,1101.0,2013,1,0
6.0,1.0,8.0,19.0,1907.0,2013,1,2
6.0,1.0,9.0,1.0,101.0,2013,1,5
7.0,1.0,11.0,8.0,805.0,2013,1,2
7.0,1.0,13.0,1.0,101.0,2013,1,1
7.0,1.0,13.0,10.0,1015.0,2013,1,5
7.0,1.0,15.0,10.0,1001.0,2013,1,1
7.0,1.0,15.0,9.0,921.0,2013,1,1
7.0,1.0,16.0,1.0,116.0,2013,1,0
7.0,1.0,17.0,22.0,2201.0,2013,1,0
7.0,1.0,19.0,22.0,2201.0,2013,1,1
7.0,1.0,2.0,3.0,314.0,2013,1,2
7.0,1.0,20.0,2.0,203.0,2013,1,1
7.0,1.0,21.0,4.0,406.0,2013,1,1
7.0,1.0,5.0,1.0,101.0,2013,1,1
7.0,1.0,5.0,10.0,1020.0,2013,1,1
7.0,1.0,7.0,1.0,101.0,2013,1,1
8.0,1.0,0.0,11.0,1101.0,2013,1,2
8.0,1.0,10.0,1.0,101.0,2013,1,1
8.0,1.0,11.0,1.0,117.0,2013,1,2
8.0,1.0,12.0,19.0,1901.0,2013,1,2
8.0,1.0,17.0,19.0,1908.0,2013,1,1
8.0,1.0,19.0,12.0,1222.0,2013,1,1
8.0,1.0,22.0,10.0,1002.0,2013,1,2
8.0,1.0,6.0,4.0,416.0,2013,1,6
8.0,1.0,7.0,1.0,101.0,2013,1,1
9.0,1.0,12.0,1.0,109.0,2013,1,1
9.0,1.0,15.0,10.0,1014.0,2013,1,1
9.0,1.0,16.0,1.0,101.0,2013,1,1
9.0,1.0,18.0,11.0,1107.0,2013,1,1
9.0,1.0,19.0,9.0,914.0,2013,1,1
9.0,1.0,20.0,1.0,101.0,2013,1,1
9.0,1.0,6.0,10.0,1020.0,2013,1,1
9.0,1.0,7.0,1.0,101.0,2013,1,7
9.0,1.0,8.0,7.0,704.0,2013,1,8
1.0,10.0,0.0,1.0,108.0,2013,1,0
1.0,10.0,0.0,3.0,312.0,2013,1,1
1.0,10.0,1.0,20.0,2001.0,2013,1,1
1.0,10.0,12.0,1.0,101.0,2013,2,2
1.0,10.0,15.0,22.0,2206.0,2013,1,2
1.0,10.0,16.0,3.0,307.0,2013,1,4
1.0,10.0,19.0,1.0,101.0,2013,1,0
1.0,10.0,20.0,12.0,1202.0,2013,1,1
1.0,10.0,6.0,1.0,101.0,2013,1,1
10.0,10.0,1.0,1.0,101.0,2013,1,1
10.0,10.0,12.0,13.0,1301.0,2013,1,0
10.0,10.0,14.0,15.0,1508.0,2013,1,8
10.0,10.0,17.0,11.0,1101.0,2013,1,1
10.0,10.0,17.0,15.0,1508.0,2013,1,0
10.0,10.0,18.0,1.0,101.0,2013,1,0
10.0,10.0,18.0,12.0,1215.0,2013,1,1
10.0,10.0,18.0,22.0,2201.0,2013,1,0
10.0,10.0,18.0,9.0,901.0,2013,1,2
10.0,10.0,19.0,1.0,101.0,2013,1,0
10.0,10.0,19.0,16.0,1615.0,2013,1,1
10.0,10.0,20.0,10.0,1014.0,2013,1,1
10.0,10.0,21.0,1.0,101.0,2013,1,1
10.0,10.0,21.0,1.0,108.0,2013,1,2
10.0,10.0,22.0,12.0,1215.0,2013,1,1
10.0,10.0,22.0,4.0,407.0,2013,1,1
10.0,10.0,23.0,20.0,2001.0,2013,1,1
11.0,10.0,11.0,4.0,407.0,2013,1,1
11.0,10.0,13.0,12.0,1215.0,2013,1,1
11.0,10.0,15.0,12.0,1202.0,2013,1,1
11.0,10.0,15.0,17.0,1703.0,2013,1,3
11.0,10.0,18.0,4.0,412.0,2013,1,1
11.0,10.0,20.0,10.0,1001.0,2013,1,0
11.0,10.0,3.0,1.0,101.0,2013,1,1
11.0,10.0,3.0,15.0,1507.0,2013,1,1
11.0,10.0,7.0,7.0,703.0,2013,1,2
12.0,10.0,1.0,1.0,101.0,2013,1,1
12.0,10.0,11.0,1.0,101.0,2013,1,2
12.0,10.0,12.0,1.0,101.0,2013,1,3
12.0,10.0,13.0,13.0,1301.0,2013,1,0
12.0,10.0,15.0,19.0,1904.0,2013,1,1
12.0,10.0,15.0,7.0,710.0,2013,1,1
12.0,10.0,16.0,16.0,1613.0,2013,1,0
12.0,10.0,16.0,5.0,509.0,2013,1,0
12.0,10.0,16.0,8.0,803.0,2013,1,3
12.0,10.0,18.0,1.0,101.0,2013,1,1
12.0,10.0,18.0,14.0,1406.0,2013,1,1
12.0,10.0,19.0,1.0,101.0,2013,1,1
12.0,10.0,19.0,1.0,110.0,2013,1,1
12.0,10.0,19.0,10.0,1020.0,2013,1,3
12.0,10.0,19.0,16.0,1602.0,2013,1,0
12.0,10.0,19.0,7.0,701.0,2013,1,1
12.0,10.0,2.0,1.0,108.0,2013,1,4
12.0,10.0,2.0,1.0,113.0,2013,1,0
12.0,10.0,20.0,1.0,101.0,2013,1,1
12.0,10.0,20.0,6.0,611.0,2013,1,1
